TeamName,HOP,HDP,AOP,ADP
Huddersfield,0.336,1.303,0.504,1.51
Crystal Palace,0.638,0.966,1.345,1.007
Brighton,0.638,1.176,0.672,1.074
Cardiff,0.705,1.597,0.546,1.04
Fulham,0.738,1.513,0.504,1.51
Burnley,0.805,1.345,0.882,1.208
Newcastle,0.805,1.05,0.756,0.772
Leicester,0.805,0.84,1.134,0.94
Watford,0.872,1.176,1.092,1.04
Southampton,0.906,1.261,0.756,1.174
Wolves,0.94,0.882,0.798,0.839
Everton,1.007,0.882,1.008,0.839
Bournemouth,1.007,1.05,1.092,1.51
West Ham,1.074,1.134,0.84,0.94
Man United,1.107,1.05,1.345,0.973
Tottenham,1.141,0.672,1.387,0.772
Chelsea,1.309,0.504,1.008,0.906
Arsenal,1.409,0.672,1.303,1.174
Liverpool,1.846,0.42,1.429,0.403
Man City,1.913,0.504,1.597,0.369
